filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode
channel-180.pod5	408e6364-3025-4e2c-9c48-9098c9327b89	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59695.6	1.4562	59697.1	0	437	20	unclassified
channel-180.pod5	9f34b8c1-ea63-4352-ac27-789a10519738	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59814.8	1.427	59816.2	0	578	16	unclassified
channel-180.pod5	c06b2118-8b69-463d-8358-308c80b261c2	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60018.8	1.3006	60020.1	0	455	17	unclassified
channel-180.pod5	4a2980d2-c95c-4455-8121-e69960ac3ac6	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59849.7	0.8076	59850.5	0	281	17	unclassified
channel-180.pod5	a73f43bf-8d9f-42d0-9b1f-2a6d431612de	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59813.9	0.8284	59814.7	0	361	20	unclassified
channel-180.pod5	ab352678-0174-4fc2-947e-a171be06be7a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59942.2	0.643	59942.9	0	250	16	unclassified
channel-180.pod5	0053e8ee-475a-4d76-8d58-47707e898184	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59984.7	1.7036	59986.4	0	618	19	unclassified
channel-180.pod5	05894521-ceb2-442c-921b-95ae32d63a24	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59951.9	10.2836	59962.2	0	3930	21	unclassified
channel-180.pod5	8a79d48b-78cb-4cf0-bec9-6623a18cc02c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59994	1.0732	59995.1	0	396	21	unclassified
channel-180.pod5	ea3fcd84-7e8c-4b43-8105-b8685376c54c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60098.3	0.8134	60099.1	0	290	12	unclassified
channel-180.pod5	0d27b6cb-dc70-4631-bb1f-358d00301032	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60084.9	1.7022	60086.6	0	592	14	unclassified
